record_id,item_name,item_category,product_weight_g,recommended_pouch_type,material_type,width_cm,height_cm,gusset_cm,thickness_micron,printing_type,zip_lock,food_grade,barrier_level,shelf_life_months,quantity,film_weight_g_per_pouch,material_rate_per_kg_inr,printing_cost_per_pouch_inr,making_cost_per_pouch_inr,wastage_percent,margin_percent,actual_cost_per_pouch_inr,description_for_semantic_search
19,Liquid Dishwash,liquid,750,spout pouch,PET+PE,26.2,42.4,5.5,80,full color,no,yes,medium,12,25000,184.73,224.36,1.1,5.85,3,10,52.12,750g liquid dishwash spout pouch pouch PET+PE 80 micron full color printing without zip lock medium barrier suitable for liquid
20,Pet Food,pet food,500,stand-up,PET+PE,27.8,47.3,4.8,65,2 color,no,yes,medium,12,10000,173.23,178.47,0.72,2.48,7,15,40.0,500g pet food stand-up pouch PET+PE 65 micron 2 color printing without zip lock medium barrier suitable for pet food
21,Fertilizer Sample,agri,1000,center seal,LDPE,34.7,49.0,0,75,2 color,no,yes,low,18,1000,234.64,141.13,0.98,3.3,8,15,46.31,1000g fertilizer sample center seal pouch LDPE 75 micron 2 color printing without zip lock low barrier suitable for agri
22,Fertilizer Sample,agri,1500,center seal,PET+PE,43.8,59.9,0,80,1 color,no,no,medium,18,500,386.2,209.6,0.63,4.62,8,15,106.91,1500g fertilizer sample center seal pouch PET+PE 80 micron 1 color printing without zip lock medium barrier suitable for agri
23,Shampoo,personal care,200,spout pouch,PET+PE,12.2,16.6,3.1,110,rotogravure,no,yes,medium,24,500,48.64,151.35,1.78,3.29,4,10,14.16,200g shampoo spout pouch pouch PET+PE 110 micron rotogravure printing without zip lock medium barrier suitable for personal care
24,Namkeen,snack,300,center seal,BOPP+CPP,19.3,32.9,0,90,1 color,no,yes,low,6,25000,105.15,176.61,0.47,1.45,8,12,23.85,300g namkeen center seal pouch BOPP+CPP 90 micron 1 color printing without zip lock low barrier suitable for snack
25,Rice,grain,500,stand-up,LDPE,26.9,40.7,6.3,70,1 color,no,yes,low,9,500,162.84,118.14,0.63,2.48,8,10,26.53,500g rice stand-up pouch LDPE 70 micron 1 color printing without zip lock low barrier suitable for grain
26,Namkeen,snack,400,center seal,BOPP+CPP,22.6,38.4,0,70,2 color,no,yes,low,6,5000,111.78,107.96,0.85,1.72,4,18,17.91,400g namkeen center seal pouch BOPP+CPP 70 micron 2 color printing without zip lock low barrier suitable for snack
27,Cookies,bakery,375,center seal,PET+PE,19.6,33.8,0,60,rotogravure,no,yes,medium,4,25000,73.14,219.5,1.32,1.65,5,12,21.35,375g cookies center seal pouch PET+PE 60 micron rotogravure printing without zip lock medium barrier suitable for bakery
28,Wheat Flour,grain,1000,side gusset,PET+PE,31.3,49.8,7.9,90,full color,no,yes,medium,9,2000,299.08,221.6,1.3,4.31,4,15,85.76,1000g wheat flour side gusset pouch PET+PE 90 micron full color printing without zip lock medium barrier suitable for grain
29,Liquid Dishwash,liquid,500,stand-up,NYLON+PE,22.8,33.6,7.2,75,none,no,yes,high,12,5000,128.37,218.54,0.0,2.48,8,18,38.85,500g liquid dishwash stand-up pouch NYLON+PE 75 micron none printing without zip lock high barrier suitable for liquid
30,Face Pack Powder,cosmetic,150,stand-up,PET+PE,15.5,22.0,3.2,90,full color,yes,yes,medium,18,5000,64.68,188.73,1.3,2.17,3,15,18.49,150g face pack powder stand-up pouch PET+PE 90 micron full color printing with zip lock medium barrier suitable for cosmetic
31,Liquid Dishwash,liquid,750,spout pouch,NYLON+PE,30.6,53.1,8.2,130,full color,no,yes,high,12,5000,448.69,171.87,1.3,5.85,7,20,108.15,750g liquid dishwash spout pouch pouch NYLON+PE 130 micron full color printing without zip lock high barrier suitable for liquid
32,Rice,grain,1500,stand-up,PET+PE,40.3,68.1,5.8,90,none,yes,yes,medium,9,1000,493.18,220.35,0.0,6.62,7,12,138.35,1500g rice stand-up pouch PET+PE 90 micron none printing with zip lock medium barrier suitable for grain
33,Detergent Powder,home care,1000,side gusset,PET+PE,38.6,65.4,10.5,90,full color,no,yes,medium,18,1000,485.16,157.96,1.49,4.31,8,20,106.88,1000g detergent powder side gusset pouch PET+PE 90 micron full color printing without zip lock medium barrier suitable for home care
34,Frozen Peas,frozen food,250,3-side seal,NYLON+PE,16.9,29.5,0,120,rotogravure,no,yes,high,6,1000,110.08,197.56,1.78,1.35,6,20,31.89,250g frozen peas 3-side seal pouch NYLON+PE 120 micron rotogravure printing without zip lock high barrier suitable for frozen food
35,Pickle,wet food,1000,spout pouch,PET+ALU+PE,34.8,58.7,6.2,110,rotogravure,no,yes,high,12,25000,457.12,224.36,1.32,7.01,4,15,126.01,1000g pickle spout pouch pouch PET+ALU+PE 110 micron rotogravure printing without zip lock high barrier suitable for wet food
36,Face Pack Powder,cosmetic,150,stand-up,Kraft+PE,12.5,18.0,3.5,70,2 color,yes,yes,medium,18,2000,34.62,156.55,0.85,2.17,6,15,10.36,150g face pack powder stand-up pouch Kraft+PE 70 micron 2 color printing with zip lock medium barrier suitable for cosmetic
37,Liquid Dishwash,liquid,500,stand-up,NYLON+PE,26.1,44.2,6.8,90,rotogravure,yes,yes,high,12,5000,220.43,215.21,1.55,3.33,5,15,63.37,500g liquid dishwash stand-up pouch NYLON+PE 90 micron rotogravure printing with zip lock high barrier suitable for liquid
38,Liquid Dishwash,liquid,250,spout pouch,PET+PE,14.8,24.0,3.6,65,full color,yes,yes,medium,12,2000,48.85,216.09,1.3,4.38,4,20,20.33,250g liquid dishwash spout pouch pouch PET+PE 65 micron full color printing with zip lock medium barrier suitable for liquid
39,Detergent Powder,home care,500,center seal,LDPE,18.3,27.5,0,70,rotogravure,no,yes,low,18,1000,64.82,130.92,1.78,1.98,5,18,15.09,500g detergent powder center seal pouch LDPE 70 micron rotogravure printing without zip lock low barrier suitable for home care
40,Liquid Dishwash,liquid,750,stand-up,NYLON+PE,34.3,49.4,4.1,130,full color,yes,yes,high,12,500,438.94,166.95,1.49,4.15,3,12,90.92,750g liquid dishwash stand-up pouch NYLON+PE 130 micron full color printing with zip lock high barrier suitable for liquid
41,Potato Chips,snack,25,center seal,BOPP+CPP,5.1,7.3,0,75,full color,no,yes,low,6,5000,5.14,161.66,1.3,0.73,4,20,3.68,25g potato chips center seal pouch BOPP+CPP 75 micron full color printing without zip lock low barrier suitable for snack
42,Granola,healthy snack,250,stand-up,Kraft+PE,18.3,31.4,3.4,70,full color,no,yes,medium,8,500,82.02,157.75,1.49,1.65,8,12,19.27,250g granola stand-up pouch Kraft+PE 70 micron full color printing without zip lock medium barrier suitable for healthy snack
43,Pulses,grain,500,stand-up,LDPE,24.4,36.3,7.2,100,full color,yes,yes,low,9,10000,195.3,107.18,1.1,3.33,5,18,30.03,500g pulses stand-up pouch LDPE 100 micron full color printing with zip lock low barrier suitable for grain
44,Liquid Dishwash,liquid,250,spout pouch,NYLON+PE,14.3,24.2,5.1,60,full color,no,yes,high,12,5000,46.26,193.32,1.3,3.53,6,12,16.55,250g liquid dishwash spout pouch pouch NYLON+PE 60 micron full color printing without zip lock high barrier suitable for liquid
45,Pet Food,pet food,1000,flat bottom,PET+PE,30.0,50.1,6.6,120,rotogravure,yes,yes,medium,12,5000,375.58,203.06,1.55,5.91,5,20,105.25,1000g pet food flat bottom pouch PET+PE 120 micron rotogravure printing with zip lock medium barrier suitable for pet food
46,Turmeric Powder,spices,200,3-side seal,PET+ALU+PE,12.7,19.6,0,100,full color,no,yes,high,12,5000,45.8,220.18,1.3,1.22,3,10,14.2,200g turmeric powder 3-side seal pouch PET+ALU+PE 100 micron full color printing without zip lock high barrier suitable for spices
47,Detergent Powder,home care,250,side gusset,LDPE,17.3,28.5,3.3,100,full color,no,no,low,18,5000,101.23,118.42,1.3,1.72,5,12,17.48,250g detergent powder side gusset pouch LDPE 100 micron full color printing without zip lock low barrier suitable for home care
48,Turmeric Powder,spices,300,3-side seal,PET+PE,17.2,28.2,0,110,1 color,no,yes,medium,12,1000,98.17,193.3,0.63,1.48,3,12,24.26,300g turmeric powder 3-side seal pouch PET+PE 110 micron 1 color printing without zip lock medium barrier suitable for spices
49,Protein Powder,nutrition,250,flat bottom,PET+ALU+PE,20.8,32.7,4.6,65,full color,yes,yes,high,18,25000,92.79,241.95,1.1,2.88,6,10,29.55,250g protein powder flat bottom pouch PET+ALU+PE 65 micron full color printing with zip lock high barrier suitable for nutrition
50,Pet Food,pet food,750,flat bottom,PET+ALU+PE,26.7,45.2,4.4,60,2 color,no,yes,high,12,5000,146.2,214.73,0.85,4.05,3,20,44.99,750g pet food flat bottom pouch PET+ALU+PE 60 micron 2 color printing without zip lock high barrier suitable for pet food
51,Namkeen,snack,100,center seal,PET+PE,8.5,14.1,0,120,rotogravure,no,yes,medium,6,500,26.46,193.24,1.78,0.92,7,12,9.59,100g namkeen center seal pouch PET+PE 120 micron rotogravure printing without zip lock medium barrier suitable for snack
52,Detergent Powder,home care,1000,side gusset,LDPE,34.5,47.4,11.0,60,rotogravure,no,no,low,18,10000,222.43,164.44,1.32,4.31,4,12,46.61,1000g detergent powder side gusset pouch LDPE 60 micron rotogravure printing without zip lock low barrier suitable for home care
53,Cookies,bakery,125,3-side seal,BOPP+CPP,9.0,13.8,0,120,none,no,yes,low,4,10000,27.42,140.2,0.0,1.01,3,12,5.25,125g cookies 3-side seal pouch BOPP+CPP 120 micron none printing without zip lock low barrier suitable for bakery
54,Pulses,grain,1000,stand-up,PET+PE,35.7,61.5,7.2,110,rotogravure,yes,yes,medium,9,2000,496.4,158.52,1.55,4.97,4,15,102.16,1000g pulses stand-up pouch PET+PE 110 micron rotogravure printing with zip lock medium barrier suitable for grain
55,Cookies,bakery,250,3-side seal,PET+PE,16.2,23.7,0,60,full color,no,yes,medium,4,10000,42.39,181.32,1.1,1.35,5,18,12.25,250g cookies 3-side seal pouch PET+PE 60 micron full color printing without zip lock medium barrier suitable for bakery
56,Pickle,wet food,1000,spout pouch,PET+ALU+PE,29.4,42.6,4.9,130,none,no,yes,high,12,10000,334.04,264.68,0.0,7.01,7,20,116.72,1000g pickle spout pouch pouch PET+ALU+PE 130 micron none printing without zip lock high barrier suitable for wet food
57,Medical Powder,pharma,150,3-side seal,PET+ALU+PE,12.0,17.5,0,120,full color,no,yes,high,24,5000,46.37,218.77,1.3,1.08,6,10,14.64,150g medical powder 3-side seal pouch PET+ALU+PE 120 micron full color printing without zip lock high barrier suitable for pharma
58,Liquid Dishwash,liquid,750,spout pouch,PET+PE,25.1,43.4,8.7,110,2 color,no,yes,medium,12,1000,264.68,140.93,0.98,5.85,3,15,52.17,750g liquid dishwash spout pouch pouch PET+PE 110 micron 2 color printing without zip lock medium barrier suitable for liquid
59,Tea Leaves,dry food,500,stand-up,PET+ALU+PE,25.5,39.5,5.2,55,none,yes,yes,high,12,5000,115.35,192.11,0.0,3.33,7,12,30.85,500g tea leaves stand-up pouch PET+ALU+PE 55 micron none printing with zip lock high barrier suitable for dry food
60,Shampoo,personal care,200,spout pouch,PET+PE,12.2,19.2,3.6,60,full color,no,yes,medium,24,25000,30.71,158.51,1.1,3.29,3,18,11.02,200g shampoo spout pouch pouch PET+PE 60 micron full color printing without zip lock medium barrier suitable for personal care
61,Fertilizer Sample,agri,500,center seal,PET+PE,25.4,44.2,0,70,full color,no,no,medium,18,10000,144.6,180.21,1.1,1.98,4,18,33.84,500g fertilizer sample center seal pouch PET+PE 70 micron full color printing without zip lock medium barrier suitable for agri
62,Seeds,agri,50,3-side seal,BOPP+CPP,8.0,11.7,0,75,2 color,no,no,low,18,5000,12.92,166.76,0.85,0.81,7,18,5.09,50g seeds 3-side seal pouch BOPP+CPP 75 micron 2 color printing without zip lock low barrier suitable for agri
63,Shampoo,personal care,200,3-side seal,NYLON+PE,13.4,23.1,0,70,rotogravure,no,yes,high,24,10000,39.87,270.88,1.32,1.22,4,20,15.79,200g shampoo 3-side seal pouch NYLON+PE 70 micron rotogravure printing without zip lock high barrier suitable for personal care
64,Liquid Dishwash,liquid,500,spout pouch,NYLON+PE,26.7,44.5,6.3,65,rotogravure,no,yes,high,12,25000,162.22,217.23,1.32,4.69,3,12,45.25,500g liquid dishwash spout pouch pouch NYLON+PE 65 micron rotogravure printing without zip lock high barrier suitable for liquid
65,Pet Food,pet food,750,stand-up,PET+ALU+PE,31.8,48.1,7.7,65,full color,yes,yes,high,12,500,212.22,177.34,1.49,4.15,5,15,52.38,750g pet food stand-up pouch PET+ALU+PE 65 micron full color printing with zip lock high barrier suitable for pet food
66,Detergent Powder,home care,500,side gusset,LDPE,27.7,37.8,3.3,130,full color,no,no,low,18,2000,272.32,146.54,1.3,2.59,5,12,51.7,500g detergent powder side gusset pouch LDPE 130 micron full color printing without zip lock low barrier suitable for home care
67,Liquid Dishwash,liquid,500,stand-up,NYLON+PE,20.3,33.9,4.5,80,full color,no,yes,high,12,1000,114.75,210.09,1.49,2.48,4,20,35.04,500g liquid dishwash stand-up pouch NYLON+PE 80 micron full color printing without zip lock high barrier suitable for liquid
68,Medical Powder,pharma,50,3-side seal,PET+ALU+PE,6.7,10.9,0,100,full color,no,yes,high,24,500,13.44,273.5,1.49,0.81,4,12,6.99,50g medical powder 3-side seal pouch PET+ALU+PE 100 micron full color printing without zip lock high barrier suitable for pharma
69,Wheat Flour,grain,2000,stand-up,LDPE,40.6,62.0,9.5,120,rotogravure,no,yes,low,9,5000,640.96,120.34,1.55,7.43,6,15,104.99,2000g wheat flour stand-up pouch LDPE 120 micron rotogravure printing without zip lock low barrier suitable for grain
70,Pulses,grain,250,3-side seal,LDPE,16.3,25.8,0,75,1 color,no,yes,low,9,500,58.03,101.49,0.63,1.35,8,18,9.95,250g pulses 3-side seal pouch LDPE 75 micron 1 color printing without zip lock low barrier suitable for grain
71,Pet Food,pet food,500,flat bottom,PET+ALU+PE,25.6,40.9,6.4,130,full color,yes,yes,high,12,1000,289.64,246.88,1.49,3.89,4,10,88.25,500g pet food flat bottom pouch PET+ALU+PE 130 micron full color printing with zip lock high barrier suitable for pet food
72,Fertilizer Sample,agri,1000,center seal,PET+PE,26.4,38.8,0,90,full color,no,yes,medium,18,500,169.63,153.92,1.49,3.3,4,20,38.84,1000g fertilizer sample center seal pouch PET+PE 90 micron full color printing without zip lock medium barrier suitable for agri
73,Protein Powder,nutrition,750,stand-up,PET+PE,33.4,55.8,6.5,60,rotogravure,yes,yes,medium,18,5000,229.72,150.66,1.55,4.15,4,18,49.8,750g protein powder stand-up pouch PET+PE 60 micron rotogravure printing with zip lock medium barrier suitable for nutrition
74,Frozen Peas,frozen food,750,3-side seal,NYLON+PE,23.3,34.9,0,130,2 color,no,yes,high,6,500,194.51,191.47,0.98,2.7,6,15,49.7,750g frozen peas 3-side seal pouch NYLON+PE 130 micron 2 color printing without zip lock high barrier suitable for frozen food
75,Rice,grain,2000,stand-up,LDPE,52.5,90.0,9.0,90,1 color,yes,yes,low,9,10000,860.71,107.93,0.47,8.28,3,10,109.33,2000g rice stand-up pouch LDPE 90 micron 1 color printing with zip lock low barrier suitable for grain
76,Sauce,liquid food,200,spout pouch,PET+PE,15.1,24.9,4.9,90,1 color,no,yes,medium,9,10000,74.52,192.42,0.47,3.29,8,12,21.08,200g sauce spout pouch pouch PET+PE 90 micron 1 color printing without zip lock medium barrier suitable for liquid food
77,Fertilizer Sample,agri,1000,center seal,PET+PE,28.0,42.8,0,70,none,no,no,medium,18,2000,154.35,217.48,0.0,3.3,3,15,43.75,1000g fertilizer sample center seal pouch PET+PE 70 micron none printing without zip lock medium barrier suitable for agri
78,Fertilizer Sample,agri,1500,side gusset,PET+PE,47.7,80.1,6.0,70,1 color,no,yes,medium,18,2000,528.98,197.5,0.55,6.04,7,10,130.5,1500g fertilizer sample side gusset pouch PET+PE 70 micron 1 color printing without zip lock medium barrier suitable for agri
79,Dry Fruits,premium food,125,stand-up,Kraft+PE,11.9,17.1,3.7,80,none,no,yes,medium,12,1000,36.43,228.99,0.0,1.24,7,10,11.19,125g dry fruits stand-up pouch Kraft+PE 80 micron none printing without zip lock medium barrier suitable for premium food
80,Coffee Powder,dry food,125,flat bottom,PET+ALU+PE,11.0,18.3,2.1,80,full color,yes,yes,high,12,500,33.03,170.56,1.49,2.37,5,10,10.8,125g coffee powder flat bottom pouch PET+ALU+PE 80 micron full color printing with zip lock high barrier suitable for dry food
81,Liquid Dishwash,liquid,500,stand-up,NYLON+PE,20.9,32.4,7.7,55,rotogravure,yes,yes,high,12,5000,84.81,242.86,1.55,3.33,8,20,32.94,500g liquid dishwash stand-up pouch NYLON+PE 55 micron rotogravure printing with zip lock high barrier suitable for liquid
82,Fertilizer Sample,agri,1000,side gusset,PET+PE,33.5,57.4,4.8,60,full color,no,yes,medium,18,5000,230.04,167.62,1.3,4.31,4,10,50.36,1000g fertilizer sample side gusset pouch PET+PE 60 micron full color printing without zip lock medium barrier suitable for agri
83,Seeds,agri,150,stand-up,BOPP+CPP,16.0,25.8,3.7,70,full color,yes,yes,low,18,5000,60.79,137.32,1.3,2.17,4,18,14.46,150g seeds stand-up pouch BOPP+CPP 70 micron full color printing with zip lock low barrier suitable for agri
84,Shampoo,personal care,200,3-side seal,PET+PE,15.1,22.6,0,65,full color,no,yes,medium,24,2000,40.81,201.72,1.3,1.22,6,10,12.34,200g shampoo 3-side seal pouch PET+PE 65 micron full color printing without zip lock medium barrier suitable for personal care
85,Cookies,bakery,250,center seal,BOPP+CPP,17.8,28.0,0,120,full color,no,yes,low,4,25000,110.05,175.37,1.1,1.32,7,15,25.55,250g cookies center seal pouch BOPP+CPP 120 micron full color printing without zip lock low barrier suitable for bakery
86,Liquid Dishwash,liquid,750,spout pouch,PET+PE,28.2,40.5,7.7,70,full color,no,yes,medium,12,2000,175.07,216.72,1.3,5.85,5,20,56.79,750g liquid dishwash spout pouch pouch PET+PE 70 micron full color printing without zip lock medium barrier suitable for liquid
87,Wheat Flour,grain,500,stand-up,LDPE,22.3,31.7,6.5,75,rotogravure,no,yes,low,9,10000,117.56,162.66,1.32,2.48,5,10,25.0,500g wheat flour stand-up pouch LDPE 75 micron rotogravure printing without zip lock low barrier suitable for grain
88,Coffee Powder,dry food,500,stand-up,PET+ALU+PE,26.6,38.2,5.1,80,full color,yes,yes,high,12,25000,169.54,186.81,1.1,3.33,5,15,41.63,500g coffee powder stand-up pouch PET+ALU+PE 80 micron full color printing with zip lock high barrier suitable for dry food
89,Pet Food,pet food,500,stand-up,PET+PE,20.6,31.5,5.1,120,rotogravure,yes,yes,medium,12,1000,166.47,178.83,1.78,3.33,5,12,41.22,500g pet food stand-up pouch PET+PE 120 micron rotogravure printing with zip lock medium barrier suitable for pet food
90,Tea Leaves,dry food,375,3-side seal,PET+PE,20.1,31.4,0,75,full color,no,yes,medium,12,2000,87.1,141.75,1.3,1.69,6,20,19.29,375g tea leaves 3-side seal pouch PET+PE 75 micron full color printing without zip lock medium barrier suitable for dry food
91,Turmeric Powder,spices,300,3-side seal,PET+PE,14.7,22.8,0,90,2 color,no,yes,medium,12,2000,55.5,153.93,0.85,1.48,6,20,14.01,300g turmeric powder 3-side seal pouch PET+PE 90 micron 2 color printing without zip lock medium barrier suitable for spices
92,Pickle,wet food,750,stand-up,NYLON+PE,34.0,57.6,7.2,120,none,yes,yes,high,12,25000,486.47,207.19,0.0,4.15,8,18,126.97,750g pickle stand-up pouch NYLON+PE 120 micron none printing with zip lock high barrier suitable for wet food
93,Detergent Powder,home care,500,side gusset,PET+PE,20.7,34.9,4.2,120,full color,no,no,medium,18,10000,178.71,174.94,1.1,2.59,3,18,40.63,500g detergent powder side gusset pouch PET+PE 120 micron full color printing without zip lock medium barrier suitable for home care
94,Granola,healthy snack,375,stand-up,Kraft+PE,21.6,30.8,6.0,80,none,yes,yes,medium,8,1000,117.01,224.19,0.0,2.91,8,12,35.15,375g granola stand-up pouch Kraft+PE 80 micron none printing with zip lock medium barrier suitable for healthy snack
95,Coffee Powder,dry food,375,stand-up,PET+ALU+PE,18.1,31.3,5.3,100,1 color,no,yes,high,12,10000,121.89,255.32,0.47,2.06,7,18,40.52,375g coffee powder stand-up pouch PET+ALU+PE 100 micron 1 color printing without zip lock high barrier suitable for dry food
96,Pet Food,pet food,750,flat bottom,PET+PE,27.2,39.7,4.0,110,none,yes,yes,medium,12,5000,240.58,144.44,0.0,4.9,6,18,49.37,750g pet food flat bottom pouch PET+PE 110 micron none printing with zip lock medium barrier suitable for pet food
97,Protein Powder,nutrition,750,stand-up,PET+ALU+PE,30.3,52.5,8.2,55,full color,yes,yes,high,18,10000,186.13,220.36,1.1,4.15,7,12,52.62,750g protein powder stand-up pouch PET+ALU+PE 55 micron full color printing with zip lock high barrier suitable for nutrition
98,Sauce,liquid food,100,spout pouch,NYLON+PE,11.9,16.5,2.8,55,rotogravure,no,yes,high,9,500,23.24,189.88,1.78,2.83,6,18,11.35,100g sauce spout pouch pouch NYLON+PE 55 micron rotogravure printing without zip lock high barrier suitable for liquid food
99,Seeds,agri,50,stand-up,BOPP+CPP,9.9,15.9,1.1,60,2 color,no,yes,low,18,2000,18.58,146.56,0.85,0.99,6,15,5.46,50g seeds stand-up pouch BOPP+CPP 60 micron 2 color printing without zip lock low barrier suitable for agri
100,Medical Powder,pharma,50,stand-up,PET+ALU+PE,8.5,13.7,2.0,65,full color,no,yes,high,24,10000,15.96,237.03,1.1,0.99,3,15,6.7,50g medical powder stand-up pouch PET+ALU+PE 65 micron full color printing without zip lock high barrier suitable for pharma
101,Green Tea,dry food,100,stand-up,PET+ALU+PE,15.8,20.8,5.0,150,2 color,yes,yes,high,18,100000,112.32,230.93,1.04,5.18,4,19,39.8,100g green tea stand-up pouch PET+ALU+PE 150 micron 2 color printing with zip lock high barrier suitable for dry food
102,Organic Seeds,agri,100,3-side seal,Kraft+PE,11.4,14.1,0,90,full color,no,no,low,18,1000,21.93,121.24,1.45,1.62,3,18,6.96,100g organic seeds 3-side seal pouch Kraft+PE 90 micron full color printing without zip lock low barrier suitable for agri
103,Organic Fertilizer,agri,1000,side gusset,Kraft+PE,41.3,54.2,15.2,120,full color,no,no,medium,18,100000,613.59,159.01,1.27,4.77,6,11,121.9,1000g organic fertilizer side gusset pouch Kraft+PE 120 micron full color printing without zip lock medium barrier suitable for agri
104,Mixed Nuts,premium food,400,stand-up,PET+ALU+PE,21.1,29.1,6.3,110,full color,yes,yes,high,12,10000,144.67,293.85,1.28,2.95,7,17,58.52,400g mixed nuts stand-up pouch PET+ALU+PE 110 micron full color printing with zip lock high barrier suitable for premium food
105,Namkeen,snack,700,stand-up,BOPP+CPP,23.1,31.8,7.0,100,2 color,no,yes,low,6,50000,157.27,127.32,0.85,2.16,8,11,27.61,700g namkeen stand-up pouch BOPP+CPP 100 micron 2 color printing without zip lock low barrier suitable for snack
